CountryName,Year,Population,GDP per capita,Health expenditure per capita,Life expectancy at birth,CO2 emissions,Urban population,Region
United Kingdom,1960,52400000,14233.71902,,71.12682927,,78.444,Europe & Central Asia
United Kingdom,1961,52800000,14489.42742,,70.87804878,,78.374,Europe & Central Asia
United Kingdom,1962,53250000,14557.77409,,70.92682927,,78.237,Europe & Central Asia
United Kingdom,1963,53650000,15020.88183,,70.82682927,,78.099,Europe & Central Asia
United Kingdom,1964,54000000,15675.41357,,71.62439024,,77.96,Europe & Central Asia
United Kingdom,1965,54348050,16009.41064,,71.62439024,,77.821,Europe & Central Asia
United Kingdom,1966,54648500,16247.67197,,71.57317073,,77.682,Europe & Central Asia
United Kingdom,1967,54943600,16533.86769,,72.12439024,,77.541,Europe & Central Asia
United Kingdom,1968,55211700,17109.21375,,71.72439024,,77.4,Europe & Central Asia
United Kingdom,1969,55441750,17387.92099,,71.72195122,,77.259,Europe & Central Asia
United Kingdom,1970,55663250,17780.82229,,71.97317073,,77.117,Europe & Central Asia
United Kingdom,1971,55896223,18323.2224,,72.27317073,,77.03,Europe & Central Asia
United Kingdom,1972,56086065,19033.18828,,72.12439024,,77.195,Europe & Central Asia
United Kingdom,1973,56194527,20238.48357,,72.32439024,,77.358,Europe & Central Asia
United Kingdom,1974,56229974,19716.08118,,72.52439024,,77.521,Europe & Central Asia
United Kingdom,1975,56225800,19412.03464,,72.72439024,,77.683,Europe & Central Asia
United Kingdom,1976,56211968,20004.81643,,72.77560976,,77.844,Europe & Central Asia
United Kingdom,1977,56193492,20530.94285,,73.22439024,,78.005,Europe & Central Asia
United Kingdom,1978,56196504,21377.85149,,73.17560976,,78.164,Europe & Central Asia
United Kingdom,1979,56246951,22143.94533,,73.27560976,,78.323,Europe & Central Asia
United Kingdom,1980,56314216,21637.68085,,73.67560976,,78.481,Europe & Central Asia
United Kingdom,1981,56333829,21446.87822,,74.02682927,,78.588,Europe & Central Asia
United Kingdom,1982,56313641,21899.86323,,74.17804878,,78.539,Europe & Central Asia
United Kingdom,1983,56332848,22812.36737,,74.37804878,,78.489,Europe & Central Asia
United Kingdom,1984,56422072,23290.59454,,74.77804878,,78.44,Europe & Central Asia
United Kingdom,1985,56550268,24061.6084,,74.62926829,,78.39,Europe & Central Asia
United Kingdom,1986,56681396,24764.64522,,74.92926829,,78.34,Europe & Central Asia
United Kingdom,1987,56802050,26082.61802,,75.2804878,,78.29,Europe & Central Asia
United Kingdom,1988,56928327,27569.08911,,75.3804878,,78.24,Europe & Central Asia
United Kingdom,1989,57076711,28189.78349,,75.58292683,,78.19,Europe & Central Asia
United Kingdom,1990,57247586,28256.59116,,75.8804878,0.373463785,78.14,Europe & Central Asia
United Kingdom,1991,57424897,27821.08034,,76.08292683,0.385554593,78.112,Europe & Central Asia
United Kingdom,1992,57580402,27869.95656,,76.43414634,0.376652382,78.172,Europe & Central Asia
United Kingdom,1993,57718614,28538.78075,,76.38536585,0.359931013,78.232,Europe & Central Asia
United Kingdom,1994,57865745,29611.97204,,76.88536585,0.346667278,78.293,Europe & Central Asia
United Kingdom,1995,58019030,30986.65294,1364.123182,76.83658537,0.325192442,78.353,Europe & Central Asia
United Kingdom,1996,58166950,31732.41672,1436.869329,77.08780488,0.324486783,78.413,Europe & Central Asia
United Kingdom,1997,58316954,32631.63961,1540.870114,77.21097561,0.300968594,78.472,Europe & Central Asia
United Kingdom,1998,58487141,33635.27833,1658.792217,77.1902439,0.293812367,78.532,Europe & Central Asia
United Kingdom,1999,58682466,34566.81831,1767.097723,77.3902439,0.284412389,78.591,Europe & Central Asia
United Kingdom,2000,58892514,35751.98738,1761.388222,77.74146341,0.279643614,78.651,Europe & Central Asia
United Kingdom,2001,59119673,36596.87914,1819.142562,77.99268293,0.274180599,78.751,Europe & Central Asia
United Kingdom,2002,59370479,37351.11763,2064.159478,78.14390244,0.258306385,79.047,Europe & Central Asia
United Kingdom,2003,59647577,38418.09157,2449.932768,78.44634146,0.255386445,79.339,Europe & Central Asia
United Kingdom,2004,59987905,39150.72946,2938.446191,78.74634146,0.249472328,79.629,Europe & Central Asia
United Kingdom,2005,60401206,40047.90597,3135.422114,79.04878049,0.243722124,79.915,Europe & Central Asia
United Kingdom,2006,60846820,40812.81088,3394.743168,79.24878049,0.236913437,80.199,Europe & Central Asia
United Kingdom,2007,61322463,41543.49725,3916.378522,79.44878049,0.225373933,80.479,Europe & Central Asia
United Kingdom,2008,61806995,41025.38323,3833.925503,79.6,0.22351259,80.757,Europe & Central Asia
United Kingdom,2009,62276270,39009.43921,3462.731371,80.05121951,0.211696415,81.031,Europe & Central Asia
United Kingdom,2010,62766365,39300.96702,3442.345186,80.40243902,0.216835902,81.302,Europe & Central Asia
United Kingdom,2011,63258918,39764.09384,3606.569119,80.95121951,0.193651304,81.57,Europe & Central Asia
United Kingdom,2012,63700300,39954.15916,3594.709713,80.90487805,,81.834,Europe & Central Asia
United Kingdom,2013,64106779,40558.32323,3597.917253,80.95609756,,82.092,Europe & Central Asia
United Kingdom,2014,64510376,41489.63438,,,,82.345,Europe & Central Asia
United Kingdom,2015,,,,,,,Europe & Central Asia
