CountryName,Population,GDP per capita,Health expenditure per capita,Life expectancy at birth,CO2 emissions,Urban population,Region
Afghanistan,27962207,366.3248129,47.87693003,58.97082927,0.182184115,24.689,South Asia
Albania,2913021,3604.079772,200.4417924,76.9785122,0.161687665,52.163,Europe & Central Asia
Algeria,36036159,3233.177138,209.8349111,73.80404878,0.256366867,67.526,Middle East & North Africa
American Samoa,55636,,,,,87.594,East Asia & Pacific
Andorra,84419,33512.01553,3185.533817,,,87.817,Europe & Central Asia
Angola,21219954,,143.7824605,50.65417073,,40.097,Sub-Saharan Africa
Antigua and Barbuda,87233,11602.14223,733.8083642,75.30878049,0.292272264,26.239,Latin America & Caribbean
Argentina,41222875,7076.301272,754.1795655,75.48497561,0.223619776,90.966,Latin America & Caribbean
Armenia,2963496,1997.052261,143.0644236,74.22634146,0.218656591,63.58,Europe & Central Asia
Aruba,101597,,,74.95353659,,43.059,Latin America & Caribbean
Australia,22031750,36210.35676,5196.543557,81.69512195,0.404003992,88.733,East Asia & Pacific
Austria,8363404,40119.08301,5033.422336,80.5804878,0.189171889,65.852,Europe & Central Asia
Azerbaijan,9054332,3126.72404,310.3253829,70.45029268,0.212424526,53.401,Europe & Central Asia
Bahrain,1261319,16591.81314,747.3295196,76.12756098,0.458154151,88.535,Middle East & North Africa
Bangladesh,151616777,614.9483821,23.21265948,70.08029268,0.151086803,30.462,South Asia
Barbados,279566,14482.01937,978.0542928,74.84529268,0.353841572,32.06,Latin America & Caribbean
Belarus,9490000,4524.158168,322.5782119,70.40487805,0.417531873,74.615,Europe & Central Asia
Belgium,10920272,38006.90122,4589.878003,80.23414634,0.246021892,97.641,Europe & Central Asia
Belize,321609,3935.10094,264.661221,69.78204878,0.218580124,44.963,Latin America & Caribbean
Benin,9509798,609.9163413,32.3435893,58.72970732,0.307931832,41.854,Sub-Saharan Africa
Bermuda,65124,76393.83138,,79.28853659,0.129799355,100,North America
Bhutan,720246,1788.578645,114.3993451,67.89241463,0.104407646,34.793,South Asia
Bolivia,9918245,1205.244677,105.8240308,66.4077561,0.286207689,66.426,Latin America & Caribbean
Bosnia and Herzegovina,3835258,3324.755599,427.4579725,75.80768293,0.601303568,39.226,Europe & Central Asia
Botswana,2047831,6061.013273,393.8797413,63.40229268,0.194769814,56.235,Sub-Saharan Africa
Brazil,198614208,5580.942911,988.9299021,73.26414634,0.146676003,84.335,Latin America & Caribbean
Bulgaria,7395599,4692.72996,487.5208646,73.51219512,0.390959503,72.302,Europe & Central Asia
Burkina Faso,15632066,469.9947144,41.43218675,57.05139024,0.075701667,25.665,Sub-Saharan Africa
Burundi,9461117,147.1042498,19.41435144,54.82919512,0.029022942,10.641,Sub-Saharan Africa
Cabo Verde,490379,2633.657277,165.4309667,72.59790244,0.100190634,61.833,Sub-Saharan Africa
Cambodia,14363586,605.2247145,45.5484699,66.38565854,0.116003466,19.81,East Asia & Pacific
Cameroon,20590666,929.9100896,57.31541966,53.69482927,0.126497535,51.516,Sub-Saharan Africa
Canada,34005274,36465.7117,5305.525844,80.8934878,0.357811029,80.937,North America
Cayman Islands,55509,,,,,100,Latin America & Caribbean
Central African Republic,4444973,352.2685592,17.76662186,47.62531707,0.067356622,38.828,Sub-Saharan Africa
Chad,11896380,708.2130507,30.31804702,49.86207317,0.02259309,21.983,Sub-Saharan Africa
Channel Islands,159583,,,80.01036585,,31.054,Europe & Central Asia
Chile,17201305,9085.243094,1024.464321,80.58697561,0.227792222,88.79,Latin America & Caribbean
China,1344130000,3150.16599,273.8108803,75.042,0.653102894,50.573,East Asia & Pacific
Colombia,46406446,4202.144844,465.8274767,73.45480488,0.135747871,75.321,Latin America & Caribbean
Comoros,715972,589.9849084,51.04981424,62.2127561,0.163402463,27.966,Sub-Saharan Africa
Costa Rica,4545273,5504.142906,750.6932328,78.73604878,0.131540672,71.734,Latin America & Caribbean
Croatia,4417781,10523.90001,1143.911448,76.47560976,0.236573661,57.537,Europe & Central Asia
Cuba,11308133,4902.394975,583.371882,78.93563415,0.184024618,76.597,Latin America & Caribbean
Cyprus,1103685,24852.37367,2050.174846,79.38195122,0.275369857,67.551,Europe & Central Asia
Czech Republic,10474410,14640.34323,1410.036619,77.42439024,0.377557706,73.255,Europe & Central Asia
Denmark,5547683,47791.91814,6266.80801,79.1,0.195236524,86.795,Europe & Central Asia
Djibouti,830802,1080.395692,118.7994276,60.36068293,0.230564588,76.996,Middle East & North Africa
Dominica,71167,6068.228798,393.8577493,,0.186489216,68.094,Latin America & Caribbean
Dominican Republic,9897983,4650.203198,237.0757159,72.74980488,0.192579722,73.752,Latin America & Caribbean
Ecuador,14934692,3283.342638,269.9959144,75.02980488,0.245211645,62.69,Latin America & Caribbean
El Salvador,6038306,3037.486563,238.0972389,71.67060976,0.140158248,64.286,Latin America & Caribbean
Equatorial Guinea,728710,13757.727,637.8427461,55.971,0.17282064,39.223,Sub-Saharan Africa
Eritrea,4689664,225.3114992,11.94860351,61.46614634,0.082549777,20.572,Sub-Saharan Africa
Estonia,1331475,10328.83694,902.6733047,75.42926829,0.620445447,68.094,Europe & Central Asia
Ethiopia,87561814,237.3603816,14.94032239,61.29612195,0.07028154,17.319,Sub-Saharan Africa
Faeroe Islands,48567,,,80.64390244,,40.926,Europe & Central Asia
Fiji,859952,3621.827924,154.2909727,69.38436585,0.193265943,51.828,East Asia & Pacific
Finland,5363352,39698.79665,3976.994947,79.87073171,0.29247642,83.558,Europe & Central Asia
France,65027512,35214.13208,4583.688525,81.66341463,0.149601567,78.345,Europe & Central Asia
French Polynesia,268065,,,75.69539024,,56.479,East Asia & Pacific
Gabon,1541936,6582.148559,326.5244374,62.12082927,0.089102668,85.697,Sub-Saharan Africa
Georgia,4452800,1850.761296,266.1847559,73.67473171,0.246989321,52.869,Europe & Central Asia
Germany,81776930,37204.07656,4668.400815,79.98780488,0.225742991,74.291,Europe & Central Asia
Ghana,24317734,605.0028706,70.74028761,60.60997561,0.134714305,50.713,Sub-Saharan Africa
Greece,11153454,21852.95813,2495.288551,80.38780488,0.266493052,76.292,Europe & Central Asia
Greenland,56905,,,70.83682927,,84.383,Europe & Central Asia
Grenada,104677,6347.996795,468.7709411,72.5675122,0.222512233,35.681,Latin America & Caribbean
Guam,159440,,,78.10087805,,94.099,East Asia & Pacific
Guatemala,14732261,2209.907784,199.7260876,70.77546341,0.115726114,49.323,Latin America & Caribbean
Guinea,11012406,296.7207153,18.65090864,56.30504878,0.192835745,34.856,Sub-Saharan Africa
Guinea-Bissau,1634196,422.1737488,37.71141323,53.81436585,0.109825644,45.221,Sub-Saharan Africa
Guyana,753362,1354.681708,188.2963099,66.04270732,0.394748991,28.239,Latin America & Caribbean
Haiti,9999617,447.474323,63.02377913,61.24012195,0.141115913,52.016,Latin America & Caribbean
Honduras,7503875,1538.687509,175.6397839,72.39397561,0.249139483,51.696,Latin America & Caribbean
"Hong Kong SAR, China",7024200,31328.50945,,82.97804878,0.107388805,100,East Asia & Pacific
Hungary,10000023,11135.84151,1026.0601,74.20731707,0.22910876,68.859,Europe & Central Asia
Iceland,318041,56037.15687,3683.061669,81.89756098,0.158551706,93.624,Europe & Central Asia
